created_at,Product,Cost,Home,Bill_Item,Bills,Payoff,Entertainment,Ciger,Groceries,Mortgage,Petrol,Food,Driving,Toll,Total_Expenses
14/10/2014,nill,0,0,nill,0,0,0,0,0,0,97,22,0,6.29,125.29
15/10/2014,lia dress,100,0,nill,0,0,0,0,0,0,0,22,0,6.29,128.29
16/10/2014,uniqlo me,49,0,telstra,22.19,0,32,0,35,0,0,16,0,6.29,160.48
17/10/2014,nill,0,0,nill,0,0,0,0,17.98,0,5,22,0,6.29,51.27
18/10/2014,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
19/10/2014,Lia dress,35,0,nill,0,0,0,0,0,0,0,0,0,0,35
20/10/2014,nill,0,0,Electricity,515.8,0,20,0,0,791,0,22,0,6.29,1355.09
21/10/2014,lia coles,20,0,Gas,237.28,0,0,34,0,0,0,22,0,6.29,319.57
22/10/2014,nill,0,0,Food,35,500,0,0,0,0,0,22,0,6.29,563.29
23/10/2014,nill,0,0,Home INSU,76.43,0,0,0,0,0,103,22,0,6.29,207.72
24/10/2014,speed cam,0,0,nill,0,0,0,0,0,0,0,22,255,6.29,283.29
25/10/2014,nill,0,0,Internet,99,0,0,0,0,0,0,0,0,0,99
26/10/2014,nill,0,0,nill,0,0,0,0,147,0,0,0,0,0,147
27/10/2014,nill,0,0,nill,0,0,0,0,0,791,0,24,0,6.29,821.29
28/10/2014,nill,0,0,nill,0,0,0,0,13.31,0,0,24,0,6.29,43.6
29/10/2014,nill,0,0,nill,0,0,0,0,0,0,0,24,0,6.29,30.29
30/10/2014,nill,0,0,nill,0,0,0,0,0,0,0,24,0,6.29,30.29
31/10/2014,nill,0,0,nill,0,0,20,0,0,0,0,24,0,6.29,50.29
01/11/2014,lia,25,0,nill,0,0,0,20,0,0,0,0,0,0,45
02/11/2014,Bunnings,0,86.71,Mobile,121.58,0,0,0,80,0,0,0,0,0,288.29
03/11/2014,coffee machine,0,72,Health INSU,52,0,0,0,0,791,0,24,0,6.29,945.29
04/11/2014,milk frother,0,29,nill,0,0,0,0,35,0,88,24,0,6.29,182.29
05/11/2014,lia shopping,160,0,nill,0,0,0,0,0,0,0,17,0,6.29,183.29
06/11/2014,me hnm,110,0,lawn,35,0,48,0,0,0,0,17,0,12.58,222.58
07/11/2014,nill,0,0,nill,0,0,0,0,0,0,0,17,0,6.29,23.29
08/11/2014,Lia Lase,250,0,nill,0,0,38,0,0,0,0,0,0,12,300
09/11/2014,IKEA,0,1200,nill,0,0,0,0,57,0,0,0,0,0,1257
10/11/2014,NRMA,0,0,nill,0,0,0,0,0,791,0,20,108.2,12.58,931.78
11/11/2014,RegoCTP,0,0,Food,40,0,0,0,0,0,0,24,1000.64,6.29,1070.93
12/11/2014,nill,0,0,nill,0,0,0,0,0,0,0,17,0,6.29,23.29
13/11/2014,nill,0,0,nill,0,0,0,12.99,0,0,0,17,0,6.29,36.28
14/11/2014,nill,0,0,nill,0,0,0,0,0,0,0,17,1.36,6.29,24.65
15/11/2014,lia eye,10,0,nill,0,0,65.6,0,0,0,103.37,0,0,0,178.97
16/11/2014,nill,0,0,nill,0,0,0,0,88,0,0,0,0,0,88
17/11/2014,nill,0,0,Telstra,23,0,91,0,0,791,0,17,21,25,968
18/11/2014,nill,0,0,nill,0,0,0,0,0,0,0,17,0,6.29,23.29
19/11/2014,Kaka,63,0,nill,0,0,0,0,23,0,0,0,0,20,106
20/11/2014,nill,0,0,Lawn,35,500,0,0,0,0,0,24,0,25,584
